UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
DAY,1626393600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,28.51,29.4,26.19,26.29,1626393636,1626479992,28.53,29.4,1626408863,26.19,1626479057,26.29,2057,806,1251,0,93684.11124659,2587975.34713878,30094.4573701,831174.41514705,63589.65387649,1756800.93199167,0,0
DAY,1626480000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,26.29,27.77,26.01,26.73,1626480024,1626566125,26.27,27.77,1626553895,26.01,1626519610,26.73,954,483,471,0,62718.54634293,1656531.24926902,36557.73463898,966335.501221806,26160.81170395,690195.748047251,0,0
DAY,1626566400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,26.73,27.72,26.35,26.82,1626566682,1626652478,26.78,27.72,1626571984,26.35,1626620357,26.82,645,223,422,0,33297.02050214,893578.793947593,6550.95678844,177719.702675986,26746.0637137,715859.09127161,0,0
DAY,1626652800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,26.82,26.82,23.82,24.52,1626652833,1626738933,26.67,26.67,1626652836,23.82,1626699524,24.52,3394,2219,1175,0,217874.09036221,5379452.3792079,140093.97176236,3453876.06562161,77780.11859985,1925576.31358635,0,0
DAY,1626739200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,24.52,24.95,22.22,23.44,1626739282,1626825124,24.61,24.95,1626741537,22.22,1626775079,23.44,1836,715,1121,0,71017.21633237,1663176.56070701,28303.11488036,665104.01365565,42714.10145201,998072.54705135,0,0
DAY,1626825600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,23.44,27.42,22.84,26.61,1626825778,1626911913,23.42,27.42,1626885573,22.84,1626830257,26.61,1931,1051,880,0,85280.1748452,2220808.63084819,50231.89187471,1313256.29723272,35048.28297049,907552.333615532,0,0
DAY,1626912000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,26.61,28.13,25.94,27.87,1626912500,1626989170,26.74,28.13,1626975661,25.94,1626922826,27.87,1587,541,1046,0,79836.13761698,2183914.95056677,30212.65793343,819169.463381712,49623.47968355,1364745.48718511,0,0
DAY,1626998400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,27.87,28.63,26.47,28.49,1627007745,1627084711,27.86,28.63,1627009282,26.47,1627058113,28.49,798,451,347,0,36903.36613024,1011948.81757865,18392.62581034,508432.478128824,18510.7403199,503516.339449836,0,0
DAY,1627084800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,28.49,29.48,28.07,28.64,1627084806,1627171162,28.63,29.48,1627147588,28.07,1627158467,28.64,1272,699,573,0,50718.31945827,1460518.67578515,29666.5295437,856620.888387294,21051.78991457,603897.787397847,0,0
DAY,1627171200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,28.64,28.82,26.61,28.27,1627171321,1627257594,28.55,28.82,1627172416,26.61,1627222345,28.27,803,344,459,0,27269.32700671,757824.832159095,11483.002086,319534.664586035,15786.32492071,438290.167573056,0,0
